question,answer
"What role does the cluster manager play in membership changes of storage services, and what information does it maintain?","The cluster manager plays a critical role in membership changes of storage services. It maintains a global view of chain tables and storage targets' states, providing a central point of coordination and information for the storage services."
"What is the role of the cluster manager with respect to storage services, and what information does it maintain?",The cluster manager plays a critical role in membership changes of storage services. It maintains a global view of chain tables and storage targets’ states.
"What are the two types of states associated with a storage target, and what do they indicate?",Each storage target has a public state and a local state. Public state indicates if it’s ready to serve read requests and if write requests would be propagated to it.
"Describe the 'syncing' public state of a storage target, specifying its read and write capabilities and the reason for being in that state.","When a storage target is in the 'syncing' public state, it is not ready to serve read requests (Read: N) but write requests will be propagated to it (Write: Y). The reason for being in this state is that the service is alive and data recovery is in progress."
"Where is the local state of a storage target stored, and who is aware of it?",The local state of a storage target is stored in the memory of the cluster manager. It is only known by the storage services and the cluster manager.
What happens to the local state of a storage target if it experiences a medium failure?,"If a storage target has a medium failure, the related storage service sets the target’s local state to 'offline' in the heartbeat."
What happens to the storage targets managed by a service if that service goes down?,"If a storage service is down, the storage targets managed by that service are marked as 'offline'."
What happens if a storage target is marked as offline?,"If a storage target is marked as offline, it is moved to the end of the chain. This implies a change in the target's position or prioritization within the storage system."
Under what condition does a storage service exit immediately?,A storage service exits immediately if it finds the public state of any local storage target to be 'lastsrv' or 'offline'. This indicates a critical issue that requires immediate termination of the service.
"After a storage target completes data recovery while in a syncing state, how does the storage service communicate this to the cluster manager?","Once the data recovery of a storage target in syncing state is completed, the storage service sets the target’s local state to 'up-to-date' in subsequent heartbeat messages sent to the cluster manager. This signals that the data recovery process is finished and the target is now synchronized."
What happens to the target's local state after the storage service completes its operation?,"After the storage service completes its operation, the target's local state is set to 'up-to-date'. This 'up-to-date' status is then communicated to the cluster manager in subsequent heartbeat messages."
What is the next public state when the local state is 'up-to-date' and the current public state is 'serving'?,"When the local state is 'up-to-date' and the current public state is 'serving', the next public state is also 'serving', regardless of the predecessor's public state."
"What is the next public state when the local state is 'online' and the current public state is 'syncing', and the predecessor's public state is 'serving'?","When the local state is 'online', the current public state is 'syncing', and the predecessor's public state is 'serving', the next public state is 'syncing'."
"If the current state is 'offline' and the subsequent action is 'serving', what is the state of the predecessor?","If the current state is 'offline' and the subsequent action is 'serving', the text indicates that the state 'has no predecessor'."
"If the current state is 'offline' and the subsequent action is 'syncing', what is the resulting state?","If the current state is 'offline' and the subsequent action is 'syncing', the resulting state is 'offline'."
"When the current state is 'offline' and the action is 'lastsrv', what is the resulting state?","When the current state is 'offline' and the action is 'lastsrv', the resulting state is 'lastsrv'."
What happens to storage targets when a storage service exits or a storage medium failure occurs?,"When a storage service exits (due to process crashes or restarts during upgrades) or a storage medium failure occurs, all related storage targets are marked as offline and moved to the end of chains by the cluster manager."
What happens when a previously offline storage service starts?,"When a previously offline storage service starts, it periodically pulls the latest chain tables from the cluster manager. However, it does not send heartbeats until all its storage targets have been marked as offline in the latest chain tables."
What is the recovery process like for targets on a restarted storage service?,"When a storage service restarts, each target on the service enters into the recovery process independently. The entire recovery process overlaps with normal activity and minimizes any interruption to ongoing operations."
What condition must be met before a service sends heartbeats after periodically pulling chain tables from the cluster manager?,The service does not send heartbeats until all of its storage targets have been marked offline in the latest chain tables. This ensures that all of its targets would go through the data recovery process.
"What type of write request is expected during the data recovery process, and how is the local committed version handled in response to it?","During recovery, the write request is always a full-chunk-replace write. In response, the local committed version is updated, and any existing pending version is abandoned."
"What information does the predecessor request from the returning service before the data recovery of a storage target starts, and how is this information provided?","Before the data recovery of a storage target starts, the predecessor sends a dump-chunkmeta request to the returning service. The service then iterates the local chunk metadata store to collect the ids, chain versions, and committed/pending version numbers of all chunks on the target, and replies the collected metadata to the predecessor."
"What are the two reasoning models introduced by DeepSeek-AI, and how do their training approaches differ?","DeepSeek-AI introduces DeepSeek-R1-Zero and DeepSeek-R1. DeepSeek-R1-Zero is trained primarily through large-scale reinforcement learning (RL) without any supervised fine-tuning (SFT) as a preliminary step. DeepSeek-R1, on the other hand, incorporates multi-stage training and cold-start data before the RL phase to address issues like poor readability and language mixing encountered by DeepSeek-R1-Zero."
What are some of the benefits and drawbacks of using reinforcement learning (RL) to train DeepSeek-R1-Zero?,"DeepSeek-R1-Zero, trained via RL, naturally demonstrates remarkable reasoning capabilities and emerges with numerous powerful and intriguing reasoning behaviors. However, it also encounters challenges such as poor readability and language mixing."
"What is DeepSeek-AI providing to the research community, and what is the performance of DeepSeek-R1 compared to other models?","DeepSeek-AI is open-sourcing DeepSeek-R1-Zero, DeepSeek-R1, and six dense models (1.5B, 7B, 8B, 14B, 32B, 70B) distilled from DeepSeek-R1 to support the research community. DeepSeek-R1 achieves performance comparable to OpenAI-o1-1217 on reasoning tasks."
What is DualPipe and what are its key features?,DualPipe is an innovative bidirectional pipeline parallelism algorithm introduced in the DeepSeek-V3 Technical Report. Its key features include achieving full overlap of forward and backward computation-communication phases and reducing pipeline bubbles.
"According to the provided table, how does DualPipe compare to 1F1B and ZB1P in terms of parameter memory usage?","According to the table, DualPipe uses 2x parameter memory, while both 1F1B and ZB1P use 1x parameter memory."
"What do the variables 𝐹, 𝐵, and 𝑊 represent in the table comparing pipeline bubbles and memory usage?","In the table, 𝐹 denotes the execution time of a forward chunk, 𝐵 denotes the execution time of a full backward chunk, and 𝑊 denotes the execution time of a ""backward for weights"" chunk. 𝐹&𝐵 denotes the execution time of two mutually overlapped forward and backward chunks."
What is DualPipe and who created it?,"DualPipe is a bidirectional pipeline parallelism algorithm for computation-communication overlap in V3/R1 training. It was created and developed by Jiashi Li, Chengqi Deng, and Wenfeng Liang."
"What kind of profiling data is being shared, and how can it be visualized?",The profiling data being shared is from the creators' training and inference framework. It's meant to help the community understand communication-computation overlap strategies and low-level implementation details. The data was captured using the PyTorch Profiler and can be visualized by navigating to chrome://tracing in the Chrome browser (or edge://tracing in the Edge browser).
What does the training profile data demonstrate?,The training profile data demonstrates the overlapping strategy used in training.
"What training configuration was used for profiling, and what simplification was made during profiling?","The training profile data demonstrates an overlapping strategy for a pair of individual forward and backward chunks in DualPipe, where each chunk contains 4 MoE (Mixture of Experts) layers. The parallel configuration aligns with DeepSeek-V3 pretraining settings, using EP64 and TP1 with a 4K sequence length. For simplicity, PP communication was not included during profiling."
"What EP and TP settings were used for prefilling during inference profiling, and what parameters were set for prompt length and batch size?","For prefilling during inference profiling, EP32 and TP1 were used, in line with DeepSeek V3/R1’s actual online deployment. The prompt length was set to 4K, and the batch size was 16K tokens per GPU."
"What strategy is utilized in the prefilling stage regarding computation and communication, and how is the attention computation load managed?","In the prefilling stage, two micro-batches are used to overlap computation and all-to-all communication. The attention computation load is balanced across the two micro-batches, meaning that the same prompt may be split between them."
"What are the decoding profile parameters used, and what is the batch size per GPU?","The decoding profile employs EP128, TP1, and a prompt length of 4K. The batch size is 128 requests per GPU."
"How is all-to-all communication handled during decoding, and how does it differ from prefilling?","During decoding, all-to-all communication also leverages two micro-batches for overlapping computation and communication, similar to prefilling. However, unlike prefilling, the all-to-all communication during decoding does not occupy GPU SMs. After RDMA messages are issued, all GPU SMs are freed, and the system waits for the all-to-all communication to complete after the computation has finished. For more information about the all-to-all implementation, one should refer to DeepEP."
"What is Expert Parallelism (EP), and how are experts assigned in this context?",Expert Parallelism (EP) is a method where different experts are assigned to different GPUs.
What is the purpose of the Expert Parallelism Load Balancer (EPLB)?,The Expert Parallelism Load Balancer (EPLB) aims to keep the load of different GPUs balanced when using expert parallelism (EP). This is important because the load of different experts may vary depending on the current workload.
What strategy is used to balance the load across different GPUs in EPLB?,The EPLB adopts a redundant experts strategy that duplicates heavily-loaded experts. These duplicated experts are then heuristically packed onto GPUs to ensure load balancing across different GPUs.
"Besides load balancing, what other optimization does the EP load balancing algorithm consider?","In addition to load balancing, the algorithm attempts to place the experts of the same group to the same node whenever possible. This is done to reduce inter-node data traffic, taking advantage of the group-limited expert routing used in DeepSeek-V3."
What is the purpose of the algorithm implemented in eplb.py?,The algorithm in eplb.py computes a balanced expert replication and placement plan based on the estimated expert loads. It aims to distribute experts across server nodes and GPUs in a way that balances the load.
What are the two load balancing policies used by the algorithm and when are they applied?,The algorithm uses two load balancing policies: Hierarchical Load Balancing and Global Load Balancing. Hierarchical Load Balancing is used when the number of server nodes divides the number of expert groups. Global Load Balancing is used in all other cases.
Describe the steps involved in the Hierarchical Load Balancing policy.,"The Hierarchical Load Balancing policy consists of the following steps: first, the expert groups are packed to nodes evenly, ensuring the loads of different nodes are balanced. Then, the experts are replicated within each node. Finally, the replicated experts are packed to individual GPUs to ensure different GPUs are load-balanced."
"What are the characteristics of the global load balancing policy, and when is it typically used?","The global load balancing policy replicates experts globally, regardless of expert groups, and packs the replicated experts to individual GPUs. This policy is typically adopted during the decoding stage and is suitable for scenarios with a larger expert-parallel size."
"What is the Fire-Flyer File System (3FS) designed for, and what technologies does it utilize?",The Fire-Flyer File System (3FS) is a high-performance distributed file system designed to address the challenges of AI training and inference workloads. It leverages modern SSDs and RDMA networks to provide a shared storage layer that simplifies the development of distributed applications.
What are the key benefits of the Fire-Flyer File System's disaggregated architecture?,"The disaggregated architecture of the Fire-Flyer File System combines the throughput of thousands of SSDs and the network bandwidth of hundreds of storage nodes, allowing applications to access storage resources in a locality-aware manner."
What are the key features of the disaggregated architecture described in the text?,"The disaggregated architecture combines the throughput of thousands of SSDs and the network bandwidth of hundreds of storage nodes. This enables applications to access storage resources in a locality-oblivious manner, meaning the physical location of the data is irrelevant to the application's access."
"How does the system ensure strong consistency, and what benefit does this provide?",The system implements Chain Replication with Apportioned Queries (CRAQ) to ensure strong consistency. This simplifies application code and makes it easier to reason about because developers can rely on the data being consistent across all replicas.
"What type of file interface is used, and why was this choice made?",The system uses a well-known file interface. The metadata services are stateless and backed by a transactional key-value store like FoundationDB. This design choice eliminates the need for users to learn a new storage API because the file interface is already widely understood and used.
What benefits does taloaders provide?,Taloaders eliminates the need for prefetching or shuffling datasets by enabling random access to training samples across compute nodes.
What are the key features mentioned in the text?,"The key features mentioned are taloaders, checkpointing, and KVCache for Inference. Taloaders eliminates the need for prefetching or shuffling datasets by enabling random access to training samples. Checkpointing supports high-throughput parallel checkpointing for large-scale training. KVCache for Inference provides a cost-effective alternative to DRAM-based caching, offering high throughput and significantly larger capacity."
"What was the aggregate read throughput achieved during the read stress test, and what was the configuration of the cluster used for the test?","The aggregate read throughput reached approximately 6.6 TiB/s with background traffic from training jobs. The cluster consisted of 180 storage nodes, each equipped with 2×200Gbps InfiniBand NICs and sixteen 14TiB NVMe SSDs. Approximately 500+ client nodes were used, with each client node configured with 1x200Gbps InfiniBand NIC."
"What is the GraySort benchmark used for, and what approach does the described implementation take?","The GraySort benchmark is used to measure sort performance on large-scale datasets. The implementation described adopts a two-phase approach consisting of: (1) partitioning data via shuffle using the prefix bits of keys, and (2) in-partition sorting. Both phases read/write data from/to 3FS."
What was the hardware configuration of the test cluster used for the GraySort evaluation?,"The test cluster was comprised of 25 storage nodes, each with 2 NUMA domains, 1 storage service per NUMA domain, and 2×400Gbps NICs per node. It also included 50 compute nodes, each with 2 NUMA domains, 192 physical cores, 2.2 TiB of RAM, and 1×200 Gbps NIC per node."
"How long did it take to sort 110.5 TiB of data using the GraySort benchmark, and what was the average throughput?","Sorting 110.5 TiB of data across 8,192 partitions completed in 30 minutes and 14 seconds, achieving an average throughput of 3.66 TiB/min."
How does KVCache improve the decoding process?,KVCache improves the decoding process by caching the key and value vectors of previous tokens in the decoder layers. This helps avoid redundant computations.
What is the peak read throughput of KVCache clients as mentioned in the text?,The text mentions that the peak read throughput of all KVCache clients reached up to 40 GiB/s.
What data does the bottom figure present?,"The bottom figure presents the IOPS of removing ops from garbage collection (GC) during the same time period as the top figure, which showcases the read throughput of all KVCache clients."
"What is the significance of Deepseek in the AI industry, according to the author?","According to the author, Deepseek's significance as a disruptor in the AI industry lies in its approach of improving algorithms at the software level, rather than focusing on hardware improvements like other companies. This allows Deepseek to achieve better results with a fraction of the training and inference cost compared to its competitors."
What impact has Deepseek's AI Assistant had on the U.S. App Store and the AI investment market?,"Deepseek's AI Assistant surpassed ChatGPT to become the most downloaded free app on the U.S. App Store. This development has led to market concerns about AI investments in major U.S. tech companies, impacting the share prices of tech firms, including Nvidia."
What is the Deepseek r1 model and how does it compare to its competitors?,"Deepseek r1 is Deepseek's latest reasoning model. According to the author, it demonstrates performance that is either better than or equal to its competitors. Notably, it achieves this performance with a fraction of the training and inference cost."
"What hardware did Deepseek use to train their V3 model, and approximately how long did the final training run take?","Deepseek used a data center with approximately 2,000 Nvidia H800 GPUs to train their V3 model. The final training run lasted approximately 2 months."
"What cost-saving measures did Deepseek implement in their training process, and what were their results?","Deepseek implemented several cost-saving measures: they used 8-bit instead of 32-bit to save memory, they compressed key value indices achieving 93% compression ratios, and they used multi-token prediction instead of single-token prediction to double inference speeds. They also made training more efficient, achieving 45 times better efficiency."
"What does the $5.5 million cost associated with the final training run of Deepseek V3 represent, and what costs are *not* included in this figure?","The ~$5.5 million cost represents the rental cost for the GPU hours needed to train Deepseek V3. This cost does not include the capital expenditure for owning the hardware or costs associated with prior research, ablation studies, or experiments on alternative architectures/algorithms/data."
What architectural choices and training techniques contributed to the efficiency of the Deepseek v3 model?,"The Deepseek v3 model achieved efficiency through several key architectural and training choices.  It utilizes a Mixture-of-Experts (MoE) architecture, activating only 37B parameters out of a total 671B for each token, significantly reducing compute requirements compared to dense models. It also employs Multi-head Latent Attention (MLA) to compress the Key-Value cache, reducing memory usage.  Finally, it uses FP8 mixed precision training, reducing memory footprint by up to 50% compared to traditional FP16/FP32 formats, and accelerates training."
How does the Mixture-of-Experts (MoE) architecture contribute to the efficiency of the Deepseek v3 model?,"The Mixture-of-Experts (MoE) architecture contributes to the efficiency of the Deepseek v3 model by decomposing a large model into smaller models that can run on consumer-grade hardware. Specifically, the model only activates a small subset of its parameters (37B out of 671B) for each token. This 'sparse activation' drastically reduces the compute requirements compared to traditional, dense models, as only a fraction of the model needs to be processed for each input."
What is the purpose of Multi-head Latent Attention (MLA) and how does it contribute to the efficiency of Deepseek v3?,"The purpose of Multi-head Latent Attention (MLA) is to compress the Key-Value cache. By compressing this cache, MLA reduces memory usage. This reduction in memory usage enables more efficient training of the Deepseek v3 model."
What are some advantages of using lower precision formats in the training framework?,Using lower precision formats in the training framework reduces memory usage by up to 50% compared to traditional FP16/FP32 formats and accelerates training compared to higher precision formats. The framework also employs fine-grained quantization strategies and increased accumulation precision to maintain accuracy despite the lower precision.
What are some key features of the custom training framework called HAI-LLM?,"The custom training framework HAI-LLM includes several optimizations. It employs a DualPipe algorithm for efficient pipeline parallelism, which reduces pipeline bubbles and overlaps computation and communication. It also utilizes efficient cross-node all-to-all communication kernels to fully utilize network bandwidth. Additionally, the framework implements careful memory optimizations to avoid using costly tensor parallelism."
What load balancing strategy was pioneered and what are its benefits?,They pioneered an auxiliary loss-free strategy for load balancing in the MoE architecture. This improved performance without the drawbacks of traditional auxiliary loss methods.
"How many storage targets are created in total, and how is that number determined?","There are 30 storage targets created in total. This is determined by creating 5 storage targets on each of the 6 SSDs (one SSD per node A, B, C, D, E, and F). Therefore, 6 nodes multiplied by 5 targets per node equals 30 targets (A1, A2, A3, ..., F5)."
"According to the text, what constitutes a chain in the chain table, and what roles do the targets play within it?","According to the text, a chain in the chain table consists of three targets: Target 1 (designated as the head), Target 2, and Target 3 (designated as the tail). Each chain also has a 'Chain' number and a 'Version' number associated with it. For example, Chain 1, Version 1, is composed of targets A1 (head), B1, and C1 (tail)."
"If each chunk has 3 replicas, what does the provided chain table illustrate?","If each chunk has 3 replicas, the chain table illustrates how these replicas are distributed across different storage targets (and therefore across different nodes). Each row in the table represents a chain where a chunk and its replicas are stored. The 'Target 1', 'Target 2', and 'Target 3' columns indicate the specific storage targets holding the replicas of a chunk, forming a chain of replication."
"What happens to the version number of a chain when the chain is modified, and who is responsible for making changes to the chain tables?","When a chain is changed (for example, if a storage target goes offline), its version number is incremented. Only the primary cluster manager is authorized to make modifications to the chain tables."
"Why might multiple chain tables be created, and what is an example of how they might differ?","Multiple chain tables can be created to accommodate different data placement needs. As an example, one chain table could be designed for batch/offline jobs, while another is used for online services. These two tables might be configured to use storage targets on mutually exclusive nodes and SSDs."
"Explain the relationship between chains and chain tables, including the independence of chain states and how metadata services use chain tables.","Each chain has an independent state, meaning its state changes independently of other chains. A chain can be included in multiple chain tables. Chain tables are used by the metadata service to select a table for each file and stripe the file's chunks across chains within that table."
What is the purpose of a chain table?,The concept of chain table is created to let the metadata service pick a table for each file and stripe file chunks across chains in the table. This likely facilitates data distribution and recovery processes.
"What happens when a storage target fails, and what problem does this cause?","When a storage target (like SSD 'A' in the example) fails, its read requests are redirected to the remaining storage targets in its chain (in the first example, 'B' and 'C'). Under heavy load, this can saturate the read bandwidth of the remaining targets, causing them to become bottlenecks and impairing the overall system's read throughput."
"How can the performance impact of a storage target failure be reduced, according to the text?","The performance impact of a storage target failure can be reduced by having more SSDs share the redirected traffic. This is achieved by pairing the failed storage target with more storage targets in the chain table, so that when a failure occurs, the redirected read traffic is distributed across a larger number of SSDs. In the example, SSD 'A' is paired with every other SSD, so when 'A' fails, each of the other SSDs receives 1/5 of A’s read traffic."
"What happens to the read traffic of SSD A when it fails, according to the provided text?","When SSD A fails, each of the other SSDs receives 1/5 of A's read traffic. This means that the remaining SSDs have to pick up the slack and handle the load that was previously handled by SSD A."
What are the 'Target' columns representing in the provided table?,"The 'Target' columns, specifically Target 1 (head), Target 2, and Target 3 (tail), represent different SSDs. They likely indicate the SSDs involved in a chain or sequence, potentially for data replication or distribution. Target 1 is designated as the 'head' and Target 3 is the 'tail', suggesting a directionality or flow within the chain."
"What is the purpose of load balancing during recovery, as mentioned in the text?","The text mentions that to achieve maximum read throughput during recovery, the load balance problem can be formulated as a balanced inco. The purpose of load balancing is to distribute the workload evenly across the remaining SSDs when one fails, ensuring that no single SSD becomes overloaded and that overall read performance is maximized during the recovery process. The text is cut off, so there might be other aspects relevant to the inco."
What replication protocol is CRAQ and what type of workloads is it optimized for?,"CRAQ is a write-all-read-any replication protocol. It is optimized for read-heavy workloads, where maximizing read throughput is critical."
"In the context of data recovery, how can the load balance problem be formulated to achieve maximum read throughput, and how is the optimal solution obtained?","To achieve maximum read throughput during recovery, the load balance problem can be formulated as a balanced incomplete block design. The optimal solution is obtained by using an integer programming solver."
What is the first step a storage service takes when it receives a write request?,"The first step a storage service takes when it receives a write request is to check if the chain version in the write request matches with the latest known version. If it does not match, the request is rejected. The write request could be sent by a client or a predecessor in the chain."
How does the service retrieve write data during the process?,The service retrieves write data by issuing RDMA Read operations. These operations are used to pull the write data from the client or predecessor in the chain.
What happens after the write data is fetched into the local memory buffer?,"Once the write data is fetched into the local memory buffer, a lock is acquired from a lock manager for the chunk that is to be updated. This blocks concurrent writes to the same chunk, effectively serializing all writes at the head target."
"How are chunk versions managed, and what is the relationship between the committed and pending versions?","A storage target may store two versions of a chunk: a committed version and a pending version. Each version has a monotonically increasing version number. If the version numbers of the committed version and pending versions are 'v' and 'u' respectively, then 'u' is always equal to 'v + 1'."
What happens when an acknowledgment message arrives at a storage service?,"When an acknowledgment message arrives at a storage service, the service replaces the committed version with the pending version and continues to propagate the message to its predecessor. Subsequently, the local chunk lock is released."
What happens if the service is the tail in the chain?,"If the service is the tail, the committed version is atomically replaced by the pending version, and an acknowledgment message is sent to the predecessor. Otherwise, the write request is forwarded to the successor."
What happens when the cluster manager detects a failure in a target within the chain?,"When the cluster manager detects a failure, such as B failing in the example provided, it marks the failed target (B) as offline. It then moves the failed target to the end of the chain and broadcasts the updated chain table to all relevant services. For example, in the described scenario, once A receives the updated chain table, it will forward the write request accordingly."
What happens when the cluster manager detects the failure of node B?,"When the cluster manager detects the failure of node B, it marks B as offline, moves it to the end of the chain, and broadcasts the updated chain table to the other nodes in the cluster."
How does node A handle a write request after receiving an updated chain table due to node B's failure?,"After receiving the updated chain table indicating node B's failure, node A forwards the write request to the new successor, node C. If C rejects the request because it hasn't received the latest chain table yet, A continues to forward the request to C until C receives the updated chain table and accepts the request."
How does the storage service handle a read request when it has both committed and pending versions of a chunk?,"When the storage service has both committed and pending versions of a chunk, it replies with a special status code to notify the client. The client can then wait for a short interval and retry, or issue a relaxed read request to get the pending version."
What actions can a client take when faced with a situation where it needs to access a pending version?,"When a client needs to access a pending version, it has two options. It can either wait for a short interval and retry the request, or it can issue a relaxed read request to retrieve the pending version."
How does the cluster manager detect fail-stop failures in services?,"The cluster manager detects fail-stop failures by relying on heartbeats from the services. If the cluster manager does not receive heartbeats from a service for a configurable interval (e.g., T seconds), it declares that service as failed. A service will also stop processing requests and exit if it cannot communicate with the cluster manager for T/2 seconds. The heartbeat can be viewed as a request to renew a lease granted by the manager."
"What role does the cluster manager play in membership changes of storage services, and what information does it maintain?","The cluster manager plays a critical role in membership changes of storage services. It maintains a global view of chain tables and storage targets' states, providing a central point of coordination and information for the storage services."
"What is the role of the cluster manager with respect to storage services, and what information does it maintain?",The cluster manager plays a critical role in membership changes of storage services. It maintains a global view of chain tables and storage targets’ states.
"What are the two types of states associated with a storage target, and what do they indicate?",Each storage target has a public state and a local state. Public state indicates if it’s ready to serve read requests and if write requests would be propagated to it.
"Describe the 'syncing' public state of a storage target, specifying its read and write capabilities and the reason for being in that state.","When a storage target is in the 'syncing' public state, it is not ready to serve read requests (Read: N) but write requests will be propagated to it (Write: Y). The reason for being in this state is that the service is alive and data recovery is in progress."
"Where is the local state of a storage target stored, and who is aware of it?",The local state of a storage target is stored in the memory of the cluster manager. It is only known by the storage services and the cluster manager.
What happens to the local state of a storage target if it experiences a medium failure?,"If a storage target has a medium failure, the related storage service sets the target’s local state to 'offline' in the heartbeat."
What happens to the storage targets managed by a service if that service goes down?,"If a storage service is down, the storage targets managed by that service are marked as 'offline'."
What happens if a storage target is marked as offline?,"If a storage target is marked as offline, it is moved to the end of the chain. This implies a change in the target's position or prioritization within the storage system."
Under what condition does a storage service exit immediately?,A storage service exits immediately if it finds the public state of any local storage target to be 'lastsrv' or 'offline'. This indicates a critical issue that requires immediate termination of the service.
"After a storage target completes data recovery while in a syncing state, how does the storage service communicate this to the cluster manager?","Once the data recovery of a storage target in syncing state is completed, the storage service sets the target’s local state to 'up-to-date' in subsequent heartbeat messages sent to the cluster manager. This signals that the data recovery process is finished and the target is now synchronized."
What happens to the target's local state after the storage service completes its operation?,"After the storage service completes its operation, the target's local state is set to 'up-to-date'. This 'up-to-date' status is then communicated to the cluster manager in subsequent heartbeat messages."
What is the next public state when the local state is 'up-to-date' and the current public state is 'serving'?,"When the local state is 'up-to-date' and the current public state is 'serving', the next public state is also 'serving', regardless of the predecessor's public state."
"What is the next public state when the local state is 'online' and the current public state is 'syncing', and the predecessor's public state is 'serving'?","When the local state is 'online', the current public state is 'syncing', and the predecessor's public state is 'serving', the next public state is 'syncing'."
"If the current state is 'offline' and the subsequent action is 'serving', what is the state of the predecessor?","If the current state is 'offline' and the subsequent action is 'serving', the text indicates that the state 'has no predecessor'."
"If the current state is 'offline' and the subsequent action is 'syncing', what is the resulting state?","If the current state is 'offline' and the subsequent action is 'syncing', the resulting state is 'offline'."
"When the current state is 'offline' and the action is 'lastsrv', what is the resulting state?","When the current state is 'offline' and the action is 'lastsrv', the resulting state is 'lastsrv'."
What happens to storage targets when a storage service exits or a storage medium failure occurs?,"When a storage service exits (due to process crashes or restarts during upgrades) or a storage medium failure occurs, all related storage targets are marked as offline and moved to the end of chains by the cluster manager."
What happens when a previously offline storage service starts?,"When a previously offline storage service starts, it periodically pulls the latest chain tables from the cluster manager. However, it does not send heartbeats until all its storage targets have been marked as offline in the latest chain tables."
What is the recovery process like for targets on a restarted storage service?,"When a storage service restarts, each target on the service enters into the recovery process independently. The entire recovery process overlaps with normal activity and minimizes any interruption to ongoing operations."
What condition must be met before a service sends heartbeats after periodically pulling chain tables from the cluster manager?,The service does not send heartbeats until all of its storage targets have been marked offline in the latest chain tables. This ensures that all of its targets would go through the data recovery process.
"What type of write request is expected during the data recovery process, and how is the local committed version handled in response to it?","During recovery, the write request is always a full-chunk-replace write. In response, the local committed version is updated, and any existing pending version is abandoned."
"What information does the predecessor request from the returning service before the data recovery of a storage target starts, and how is this information provided?","Before the data recovery of a storage target starts, the predecessor sends a dump-chunkmeta request to the returning service. The service then iterates the local chunk metadata store to collect the ids, chain versions, and committed/pending version numbers of all chunks on the target, and replies the collected metadata to the predecessor."
"What are the two reasoning models introduced by DeepSeek-AI, and how do their training approaches differ?","DeepSeek-AI introduces DeepSeek-R1-Zero and DeepSeek-R1. DeepSeek-R1-Zero is trained primarily through large-scale reinforcement learning (RL) without any supervised fine-tuning (SFT) as a preliminary step. DeepSeek-R1, on the other hand, incorporates multi-stage training and cold-start data before the RL phase to address issues like poor readability and language mixing encountered by DeepSeek-R1-Zero."
What are some of the benefits and drawbacks of using reinforcement learning (RL) to train DeepSeek-R1-Zero?,"DeepSeek-R1-Zero, trained via RL, naturally demonstrates remarkable reasoning capabilities and emerges with numerous powerful and intriguing reasoning behaviors. However, it also encounters challenges such as poor readability and language mixing."
"What is DeepSeek-AI providing to the research community, and what is the performance of DeepSeek-R1 compared to other models?","DeepSeek-AI is open-sourcing DeepSeek-R1-Zero, DeepSeek-R1, and six dense models (1.5B, 7B, 8B, 14B, 32B, 70B) distilled from DeepSeek-R1 to support the research community. DeepSeek-R1 achieves performance comparable to OpenAI-o1-1217 on reasoning tasks."
What is DualPipe and what are its key features?,DualPipe is an innovative bidirectional pipeline parallelism algorithm introduced in the DeepSeek-V3 Technical Report. Its key features include achieving full overlap of forward and backward computation-communication phases and reducing pipeline bubbles.
"According to the provided table, how does DualPipe compare to 1F1B and ZB1P in terms of parameter memory usage?","According to the table, DualPipe uses 2x parameter memory, while both 1F1B and ZB1P use 1x parameter memory."
"What do the variables 𝐹, 𝐵, and 𝑊 represent in the table comparing pipeline bubbles and memory usage?","In the table, 𝐹 denotes the execution time of a forward chunk, 𝐵 denotes the execution time of a full backward chunk, and 𝑊 denotes the execution time of a ""backward for weights"" chunk. 𝐹&𝐵 denotes the execution time of two mutually overlapped forward and backward chunks."
What is DualPipe and who created it?,"DualPipe is a bidirectional pipeline parallelism algorithm for computation-communication overlap in V3/R1 training. It was created and developed by Jiashi Li, Chengqi Deng, and Wenfeng Liang."
"What kind of profiling data is being shared, and how can it be visualized?",The profiling data being shared is from the creators' training and inference framework. It's meant to help the community understand communication-computation overlap strategies and low-level implementation details. The data was captured using the PyTorch Profiler and can be visualized by navigating to chrome://tracing in the Chrome browser (or edge://tracing in the Edge browser).
What does the training profile data demonstrate?,The training profile data demonstrates the overlapping strategy used in training.
"What training configuration was used for profiling, and what simplification was made during profiling?","The training profile data demonstrates an overlapping strategy for a pair of individual forward and backward chunks in DualPipe, where each chunk contains 4 MoE (Mixture of Experts) layers. The parallel configuration aligns with DeepSeek-V3 pretraining settings, using EP64 and TP1 with a 4K sequence length. For simplicity, PP communication was not included during profiling."
"What EP and TP settings were used for prefilling during inference profiling, and what parameters were set for prompt length and batch size?","For prefilling during inference profiling, EP32 and TP1 were used, in line with DeepSeek V3/R1’s actual online deployment. The prompt length was set to 4K, and the batch size was 16K tokens per GPU."
"What strategy is utilized in the prefilling stage regarding computation and communication, and how is the attention computation load managed?","In the prefilling stage, two micro-batches are used to overlap computation and all-to-all communication. The attention computation load is balanced across the two micro-batches, meaning that the same prompt may be split between them."
"What are the decoding profile parameters used, and what is the batch size per GPU?","The decoding profile employs EP128, TP1, and a prompt length of 4K. The batch size is 128 requests per GPU."
